country_region_code,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
GB,2020-03-24,Tuesday,,Workplaces,-82,-57,-56,-36,7,59
GB,2020-03-24,Tuesday,,Residential,14,23,23,37,3,14
GB,2020-03-25,Wednesday,,Retail and Recreation,-95,-72,-73,-54,4,27
GB,2020-03-25,Wednesday,,Grocery and Pharmacy,-82,-26,-26,-6,4,40
GB,2020-03-25,Wednesday,,Parks,-88,-7,-7,161,19,572
GB,2020-03-25,Wednesday,,Transit Stations,-90,-62,-62,-19,12,115
GB,2020-03-25,Wednesday,,Workplaces,-85,-63,-62,-41,6,45
GB,2020-03-25,Wednesday,,Residential,17,26,25,39,3,13
GB,2020-03-26,Thursday,,Retail and Recreation,-96,-73,-73,-56,4,27
GB,2020-03-26,Thursday,,Grocery and Pharmacy,-83,-28,-28,-12,4,39
GB,2020-03-26,Thursday,,Parks,-91,-6,-8,141,21,570
GB,2020-03-26,Thursday,,Transit Stations,-92,-63,-64,-25,12,116
GB,2020-03-26,Thursday,,Workplaces,-85,-65,-64,-43,6,40
GB,2020-03-26,Thursday,,Residential,17,27,26,40,3,14
GB,2020-03-27,Friday,,Retail and Recreation,-96,-75,-75,-56,4,25
GB,2020-03-27,Friday,,Grocery and Pharmacy,-83,-30,-29,-8,4,42
GB,2020-03-27,Friday,,Parks,-91,-19,-21,96,19,466
GB,2020-03-27,Friday,,Transit Stations,-92,-65,-65,-32,9,96
GB,2020-03-27,Friday,,Workplaces,-84,-65,-65,-43,6,35
GB,2020-03-27,Friday,,Residential,19,28,27,41,3,12
GB,2020-03-28,Saturday,,Retail and Recreation,-96,-83,-83,-61,4,18
GB,2020-03-28,Saturday,,Grocery and Pharmacy,-74,-39,-40,-20,4,40
GB,2020-03-28,Saturday,,Parks,-93,-50,-51,4,15,221
GB,2020-03-28,Saturday,,Transit Stations,-93,-69,-69,-37,7,68
GB,2020-03-28,Saturday,,Workplaces,-71,-56,-56,-37,3,19
GB,2020-03-28,Saturday,,Residential,16,20,19,25,1,4
GB,2020-03-29,Sunday,,Retail and Recreation,-100,-85,-86,-63,3,16
GB,2020-03-29,Sunday,,Grocery and Pharmacy,-80,-47,-47,-29,4,30
GB,2020-03-29,Sunday,,Parks,-93,-51,-52,14,13,221
GB,2020-03-29,Sunday,,Transit Stations,-95,-69,-70,-37,9,94
GB,2020-03-29,Sunday,,Workplaces,-70,-55,-54,-35,4,28
GB,2020-03-29,Sunday,,Residential,13,16,15,21,1,3
GB,2020-03-30,Monday,,Retail and Recreation,-95,-74,-74,-55,4,28
GB,2020-03-30,Monday,,Grocery and Pharmacy,-84,-33,-32,-16,4,38
GB,2020-03-30,Monday,,Parks,-90,-28,-29,63,15,307
