sub_region_1,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
East Midlands,2020-03-20,Friday,,Grocery and Pharmacy,5,15,15,27,5,26
East Midlands,2020-03-20,Friday,,Parks,-29,17,8,266,16,2776
East Midlands,2020-03-20,Friday,,Transit Stations,-46,-22,-23,15,12,154
East Midlands,2020-03-20,Friday,,Workplaces,-34,-23,-22,-12,3,18
East Midlands,2020-03-20,Friday,,Residential,6,10,10,14,1,3
East Midlands,2020-03-21,Saturday,,Retail and Recreation,-63,-44,-45,-25,9,81
East Midlands,2020-03-21,Saturday,,Grocery and Pharmacy,-2,10,8,29,7,68
East Midlands,2020-03-21,Saturday,,Parks,-35,10,6,209,21,1682
East Midlands,2020-03-21,Saturday,,Transit Stations,-54,-26,-28,21,16,297
East Midlands,2020-03-21,Saturday,,Workplaces,-29,-21,-22,-9,4,22
East Midlands,2020-03-21,Saturday,,Residential,7,9,9,10,1,1
East Midlands,2020-03-22,Sunday,,Retail and Recreation,-69,-53,-52,-38,9,60
East Midlands,2020-03-22,Sunday,,Grocery and Pharmacy,-19,-8,-9,8,7,52
East Midlands,2020-03-22,Sunday,,Parks,-29,23,22,277,25,2435
East Midlands,2020-03-22,Sunday,,Transit Stations,-56,-19,-16,48,21,561
East Midlands,2020-03-22,Sunday,,Workplaces,-37,-25,-25,-14,3,21
East Midlands,2020-03-22,Sunday,,Residential,5,7,7,9,1,1
East Midlands,2020-03-23,Monday,,Retail and Recreation,-56,-39,-38,-25,7,58
East Midlands,2020-03-23,Monday,,Grocery and Pharmacy,-11,-3,-4,7,5,24
East Midlands,2020-03-23,Monday,,Parks,-49,11,4,193,10,1595
East Midlands,2020-03-23,Monday,,Transit Stations,-58,-34,-35,-3,10,146
East Midlands,2020-03-23,Monday,,Workplaces,-53,-39,-38,-25,5,31
East Midlands,2020-03-23,Monday,,Residential,9,15,15,19,1,5
East Midlands,2020-03-24,Tuesday,,Retail and Recreation,-81,-69,-68,-59,4,25
East Midlands,2020-03-24,Tuesday,,Grocery and Pharmacy,-29,-20,-20,-12,4,16
East Midlands,2020-03-24,Tuesday,,Parks,-58,-6,-7,152,13,1153
East Midlands,2020-03-24,Tuesday,,Transit Stations,-70,-49,-51,-23,9,110
East Midlands,2020-03-24,Tuesday,,Workplaces,-66,-52,-52,-36,4,34
East Midlands,2020-03-24,Tuesday,,Residential,14,21,21,26,3,7
East Midlands,2020-03-25,Wednesday,,Retail and Recreation,-83,-72,-72,-59,4,23
East Midlands,2020-03-25,Wednesday,,Grocery and Pharmacy,-32,-23,-24,-13,4,20
East Midlands,2020-03-25,Wednesday,,Parks,-66,-4,-7,161,16,1304
East Midlands,2020-03-25,Wednesday,,Transit Stations,-74,-53,-52,-25,7,109
