LocationName,Date,SiteName,LocationGroup,WeekDay,BRCYear,BRCQuarter,BRCMonth,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount,X,Y,OBJECTID
Church Street,03/09/2014,York,,Wednesday,2014,,September,36,1527,2004,3531,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,04/09/2014,York,,Thursday,2014,,September,36,1507,2178,3685,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,05/09/2014,York,,Friday,2014,,September,36,2066,2555,4621,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,06/09/2014,York,,Saturday,2014,,September,36,1890,2668,4558,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,07/09/2014,York,,Sunday,2014,,September,36,1286,1976,3262,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,08/09/2014,York,,Monday,2014,,September,37,1665,2282,3947,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,09/09/2014,York,,Tuesday,2014,,September,37,1716,2214,3930,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,10/09/2014,York,,Wednesday,2014,,September,37,1683,2270,3953,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,11/09/2014,York,,Thursday,2014,,September,37,1715,2437,4152,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,12/09/2014,York,,Friday,2014,,September,37,1766,2404,4170,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,13/09/2014,York,,Saturday,2014,,September,37,2032,2727,4759,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,14/09/2014,York,,Sunday,2014,,September,37,1199,1841,3040,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,15/09/2014,York,,Monday,2014,,September,38,1489,2115,3604,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,16/09/2014,York,,Tuesday,2014,,September,38,1585,2200,3785,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,17/09/2014,York,,Wednesday,2014,,September,38,1613,2029,3642,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,18/09/2014,York,,Thursday,2014,,September,38,1669,2375,4044,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,19/09/2014,York,,Friday,2014,,September,38,1898,2383,4281,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,20/09/2014,York,,Saturday,2014,,September,38,2182,2761,4943,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,21/09/2014,York,,Sunday,2014,,September,38,1392,2139,3531,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,22/09/2014,York,,Monday,2014,,September,39,1628,2287,3915,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,23/09/2014,York,,Tuesday,2014,,September,39,1407,2177,3584,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,24/09/2014,York,,Wednesday,2014,,September,39,1426,1936,3362,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,25/09/2014,York,,Thursday,2014,,September,39,1474,1942,3416,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,26/09/2014,York,,Friday,2014,,September,39,1990,2393,4383,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,27/09/2014,York,,Saturday,2014,,September,39,1242,2570,3812,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,28/09/2014,York,,Sunday,2014,,September,39,1158,1878,3036,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,01/10/2014,York,,Wednesday,2014,,September,40,1557,2215,3772,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,02/10/2014,York,,Thursday,2014,,September,40,1477,2107,3584,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,03/10/2014,York,,Friday,2014,,September,40,1849,2342,4191,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,04/10/2014,York,,Saturday,2014,,September,40,1979,2488,4467,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,05/10/2014,York,,Sunday,2014,,September,40,1358,1806,3164,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,29/09/2014,York,,Monday,2014,,September,40,1241,1901,3142,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,30/09/2014,York,,Tuesday,2014,,September,40,1596,2043,3639,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,06/10/2014,York,,Monday,2014,,October,41,1341,1853,3194,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,07/10/2014,York,,Tuesday,2014,,October,41,1694,2301,3995,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,08/10/2014,York,,Wednesday,2014,,October,41,1461,1923,3384,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,09/10/2014,York,,Thursday,2014,,October,41,1597,1825,3422,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,10/10/2014,York,,Friday,2014,,October,41,1713,2044,3757,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,11/10/2014,York,,Saturday,2014,,October,41,2034,2171,4205,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,12/10/2014,York,,Sunday,2014,,October,41,1469,2334,3803,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,13/10/2014,York,,Monday,2014,,October,42,1498,2482,3980,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,14/10/2014,York,,Tuesday,2014,,October,42,1680,2521,4201,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,15/10/2014,York,,Wednesday,2014,,October,42,1807,2557,4364,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,16/10/2014,York,,Thursday,2014,,October,42,1871,2532,4403,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,17/10/2014,York,,Friday,2014,,October,42,2018,2725,4743,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,18/10/2014,York,,Saturday,2014,,October,42,2508,3305,5813,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,19/10/2014,York,,Sunday,2014,,October,42,1554,2404,3958,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,20/10/2014,York,,Monday,2014,,October,43,1623,2283,3906,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,21/10/2014,York,,Tuesday,2014,,October,43,1839,2564,4403,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,22/10/2014,York,,Wednesday,2014,,October,43,1825,2460,4285,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,23/10/2014,York,,Thursday,2014,,October,43,1773,2480,4253,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,24/10/2014,York,,Friday,2014,,October,43,2281,2830,5111,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,25/10/2014,York,,Saturday,2014,,October,43,2771,3551,6322,,,,,,,-1.08046297592486,53.9604292999891,3
